serial.no,sampleID,mean,std_dev,kurtosis,rms
180,90_3,2016.4166666666667,95.90244968449339,-0.8483842530209649,2018.694893689862
181,91_1,2041.6638095238095,266.2896479096792,-0.6654656662025764,2058.948158879281
182,91_2,2028.1980952380952,253.50233682322576,-1.3702042695435226,2043.971708871399
183,91_3,2040.7585714285715,115.9360985211756,-1.3463177148989753,2044.0475349751764
184,92_1,2041.0509523809524,286.48296719799333,-1.184501400507277,2061.0488588511016
185,92_2,2032.9104761904762,146.48386013938799,-0.4174952279783599,2038.1786741154583
186,92_3,1966.4438095238095,133.62589970403283,-0.4029907973575937,1970.9765686800324
187,93_1,2010.6780952380952,296.2695378579988,-1.0724115203321223,2032.3779775941098
188,93_2,1996.325238095238,160.15531239642075,-0.7478084116380543,2002.7361199595107
189,93_3,1940.1019047619047,209.1841068611734,-0.8258913482067096,1951.3412193375393
190,95_1,2036.574761904762,251.5113641555265,-0.6041362435488353,2052.039133224733
191,95_2,2020.2438095238094,102.0583938482996,-0.7180500135056342,2022.8188267154046
192,95_3,2025.577619047619,91.12232392311317,-0.7722043730011263,2027.6252155568359
193,96_1,1964.1690476190477,319.6441245498881,-1.1792723804068868,1989.9959197134526
194,96_2,2005.1409523809523,168.67699790642126,-0.9951079012736144,2012.2198239755019
195,96_3,2007.2485714285715,176.7931183378522,-1.3631668005648978,2015.0155707776032
196,97_1,2288.0590476190478,534.8551725350217,-1.1846824238516824,2349.7123307211154
197,97_2,1932.2090476190476,158.01095002505542,-1.1693855042567352,1938.6560743881068
198,97_3,2043.9733333333334,136.92592925820787,-1.22197078193676,2048.5523594782267
199,98_1,2035.3323809523808,150.72869530840393,-0.925890697213799,2040.9032857793047
200,98_2,2014.7985714285714,92.73765369791352,-0.41875915353354065,2016.9307029435072
201,98_3,2017.5204761904763,92.76292126420547,-0.7410646077743817,2019.6508940432066
202,99_1,2066.9566666666665,288.97305895637476,-1.1623973527118767,2087.0494786157983
203,99_2,2009.2166666666667,133.53819654494995,-1.3369921943865173,2013.6473305682805
204,99_3,2008.3333333333333,129.7177290006551,-1.1205041511464136,2012.5161997573373
205,100_1,2059.4295238095237,141.35550918146882,-1.052635428659205,2064.2727117731874
206,100_2,1996.1971428571428,181.4183970006869,-0.8476094040662914,2004.4201144565714
207,100_3,2014.0480952380951,107.19775117630181,-0.42679514689079445,2016.8975223630687
208,103_1,2013.9033333333334,101.18968686720646,-1.2491083287307796,2016.4426877194262
209,103_2,1994.3142857142857,89.4706058694119,-1.228987725173323,1996.3192749705763
210,103_3,2014.12,114.77710395452038,-1.2689722617823742,2017.386151623408
211,104_1,1924.594761904762,353.5690928947205,-0.7849598528463391,1956.7873088061365
212,104_2,2029.9333333333334,355.71096677643305,-0.38205686958555063,2060.849188354853
213,104_3,2031.6171428571429,219.33847245573926,-0.9806983567590537,2043.4174001971726
214,105_1,2061.039047619048,173.45445298317603,-1.5399043099783654,2068.321560152211
215,105_2,1977.0985714285714,131.50888288301584,-0.7912906963756101,1981.4653950813176
216,105_3,2000.354761904762,155.13259892846705,-0.9485005457712279,2006.3583520066065
217,106_1,2063.054761904762,215.17759010780537,-1.256425401583872,2074.2406556663204
218,106_2,2021.7880952380951,119.76506043496764,-0.6956412789826145,2025.3305758390584
219,106_3,1992.740476190476,120.79814282480011,-0.44152066871238516,1996.3967161101118
220,107_1,2007.5438095238096,144.3575819523813,-0.783526311667857,2012.7248533364154
221,107_2,2079.0847619047618,97.99551017994061,-0.2040516159252146,2081.391840640708
222,107_3,1995.5628571428572,89.6880855694845,-0.9708399800060383,1997.5763412314482
223,108_1,1988.0819047619048,92.42368293057334,-1.0217909416493116,1990.228059676531
224,108_2,1999.355238095238,77.4577632909427,-1.1877615380619824,2000.8543715599285
225,108_3,1992.6171428571429,77.03282614809491,-1.1888207053161255,1994.1048890596073
226,110_1,2007.615238095238,379.40206154313836,-1.1419600456785741,2043.1339463816714
227,110_2,2008.0523809523809,197.3525130469658,-1.281593690726576,2017.7224369027947
228,110_3,1991.2666666666667,176.80897154446708,-1.063688917361953,1999.0971621733456
229,111_1,1971.7933333333333,247.98386113198578,-0.8407169199819045,1987.3187114683897
230,111_2,1988.35,163.27937773322418,-0.7740407840596881,1995.039644313103
231,111_3,2021.3795238095238,163.6136068562471,-1.2522267443481425,2027.987141055316
232,112_1,1984.212380952381,222.75095346422472,-1.4248988937227507,1996.6705117221902
233,112_2,2005.9409523809525,88.30126945180902,-1.2822073580493019,2007.8825926119998
234,112_3,2016.702380952381,95.9808197750739,-1.3078101271186269,2018.9840079321368
235,113_1,2201.7714285714287,202.14294100287356,-1.2013600621392513,2211.026850647842
236,113_2,1973.3742857142856,99.97983553588257,-0.9769085740031187,1975.9041674756443
237,113_3,2027.7509523809524,102.67422067993581,-0.8240142553865866,2030.347482692603
238,114_1,2007.3366666666666,247.57973097652442,-1.3366118869327415,2022.539746975381
239,114_2,2024.7047619047619,234.48199926886667,-1.216683783852787,2038.2308502835538
240,114_3,2006.0895238095238,127.19846625936387,-1.0593016441533318,2010.1161466087333
241,115_1,2003.2204761904761,97.82829782298306,-0.7445754130978077,2005.606665017322
242,115_2,1961.6171428571429,165.20154751690612,1.2577084919592991,1968.557941864092
243,115_3,2019.5638095238096,106.76797239018147,-0.7964990332727528,2022.3827413180109
244,116_1,2024.0109523809524,188.2968027369561,-0.9995607498852905,2032.7466978497462
245,116_2,2056.7814285714285,208.0296464787197,-1.1702603390365822,2067.270076925698
246,116_3,2061.8690476190477,116.23156436439798,-0.9884540742669694,2065.1409910359976
247,119_1,2000.012380952381,207.29984368552073,-1.2543986689659725,2010.7218320081686
248,119_2,2039.1,124.73550673828946,-1.3455103502299142,2042.9097747132757
249,119_3,1926.6904761904761,165.08866171408553,-0.3147674769435138,1933.7470049227275
250,120_1,2052.4380952380952,152.17042261556617,-1.1299669338384246,2058.0687417368463
251,120_2,2012.2880952380951,139.83252881060557,-1.0445821316963702,2017.1383699026037
252,120_3,2018.397619047619,172.7861933096091,-0.9710688718084759,2025.776345127021
253,122_1,2023.3909523809523,197.2724855451613,-0.8020146557611962,2032.980287188058
